% function evaluation | noise-free fitness - Fopt (-6,211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9,722601565e+07 +9,722601565e+07 +9,722539454e+07 +9,722539454e+07 -1,0217e+00 +5,6677e-01 -6,3388e-01 +1,7955e+00 -3,2414e+00 +2,2364e+00 +2,5149e+00 -1,2417e+00 -8,6723e-01 -1,4585e+00
6 +3,414665636e+07 +3,414665636e+07 +3,414603525e+07 +3,414603525e+07 -2,5592e+00 +4,4074e+00 +2,2725e+00 -4,5408e+00 -1,5510e+00 -7,9795e-01 -2,7453e+00 +5,3911e-01 +1,7313e+00 -1,7863e+00
82 +2,218880719e+07 +2,218880719e+07 +2,218818608e+07 +2,218818608e+07 -3,2111e+00 +4,5983e+00 +2,2725e+00 -4,5408e+00 -1,5510e+00 -5,8643e-01 -5,7299e-01 +5,3911e-01 +1,7268e+00 -1,7863e+00
149 +1,580842355e+07 +1,580842355e+07 +1,580780244e+07 +1,580780244e+07 -3,2111e+00 +4,5983e+00 +2,5046e-01 -4,5408e+00 +1,6208e+00 -9,0964e-01 -2,3122e-01 -8,7872e-02 +1,7268e+00 -1,7863e+00
242 +8,171718269e+06 +8,171718269e+06 +8,171097159e+06 +8,171097159e+06 -2,2620e+00 +4,5983e+00 -4,0102e-01 -3,9572e+00 +1,6208e+00 -9,0964e-01 -2,4654e-01 -8,7872e-02 +1,7268e+00 -1,7863e+00
300 +5,800880409e+06 +5,800880409e+06 +5,800259299e+06 +5,800259299e+06 -2,2620e+00 +4,5983e+00 -4,0102e-01 -3,9572e+00 +1,6208e+00 -9,0964e-01 +4,4999e-01 -8,7872e-02 +1,7268e+00 -1,7863e+00
363 +3,569900022e+06 +3,569900022e+06 +3,569278912e+06 +3,569278912e+06 -1,5036e+00 +4,5983e+00 -4,7294e-01 -3,3029e+00 +1,6208e+00 -9,0964e-01 +6,1786e-01 -8,7872e-02 +1,4612e+00 -1,7863e+00
449 +2,430427668e+06 +2,430427668e+06 +2,429806558e+06 +2,429806558e+06 -1,1799e+00 +3,7617e+00 +6,2857e-02 -3,3029e+00 +1,0448e+00 -1,3217e+00 +6,1786e-01 -8,7872e-02 +1,4612e+00 -1,4048e+00
495 +1,551799111e+06 +1,551799111e+06 +1,551178001e+06 +1,551178001e+06 -1,5036e+00 +4,1997e+00 -2,9280e-01 -3,3029e+00 +1,1492e+00 -9,0964e-01 +1,4436e+00 -8,7872e-02 +1,4612e+00 -2,6561e-01
591 +9,380954306e+05 +9,380954306e+05 +9,374743206e+05 +9,374743206e+05 -1,1799e+00 +4,1997e+00 -2,9280e-01 -3,3029e+00 +1,0448e+00 -1,5627e+00 +9,2354e-01 -1,1712e-02 +1,7371e+00 -2,6561e-01
733 +5,793909917e+05 +5,793909917e+05 +5,787698817e+05 +5,787698817e+05 -6,8374e-01 +4,1431e+00 -5,8706e-01 -3,3029e+00 +1,3274e+00 -1,7571e+00 +9,2354e-01 -7,6691e-01 +1,6986e+00 -3,0338e-01
762 +3,622335446e+05 +3,622335446e+05 +3,616124346e+05 +3,616124346e+05 -1,1799e+00 +4,0486e+00 -6,9711e-01 -3,1964e+00 +1,0448e+00 -1,5627e+00 +1,0546e+00 -3,1511e-01 +1,7371e+00 -1,8546e-01
806 +1,049531916e+05 +1,049531916e+05 +1,043320816e+05 +1,043320816e+05 -1,1799e+00 +4,0486e+00 -7,1951e-01 -3,3029e+00 +1,0448e+00 -1,5627e+00 +1,0546e+00 -7,2354e-01 +1,7371e+00 -1,8546e-01
857 +6,283982555e+04 +6,283982555e+04 +6,221871555e+04 +6,221871555e+04 -1,0508e+00 +4,0486e+00 -6,9711e-01 -3,3029e+00 +1,0448e+00 -1,7059e+00 +1,0540e+00 -7,6691e-01 +1,7371e+00 -5,1572e-01
